Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
454790,Okay Kaya,Mother Nature's Bitch,3vy3ld7my2hDUTv4u7KIJR,65,2020,indie-pop,0.729,0.588,5,-10.167,0,0.0339,0.176,0.582,0.216,0.749,126.023,93738,4
895004,Linkin Park,Breaking the Habit,6n8TMVyFKoUmDc4apxceRD,65,2003,metal,0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021,196907,4
498464,Mc Pepeu,Menina Se Prepara,2aqqXrjrPdRHU9uSeRmL3C,65,2021,funk,0.541,0.515,5,-3.182,1,0.0488,0.496,0.0,0.0937,0.41,86.66,210461,5
214669,Adam Jensen,The Mystic,424GDxARRXRaZ7Mla9EDI2,65,2016,alt-rock,0.556,0.72,4,-5.132,0,0.0415,0.358,0.0,0.146,0.405,125.324,189600,4
1201036,Crystal Castles,Crimewave,3TjliM0xQ3fkza0RpINRrq,65,2008,dance,0.746,0.691,4,-7.533,0,0.0403,0.184,0.0259,0.205,0.888,119.982,258453,4
620336,Natos y Waor,Gold Diggers,1r9Lbgiags0gJAS15Ygmc5,65,2023,spanish,0.775,0.548,6,-8.379,1,0.173,0.351,8.95e-06,0.101,0.282,95.035,267789,4
620322,La La Love You,El Principio de algo,55oRR1s2W1xX2evrUCaOSb,65,2023,spanish,0.621,0.854,6,-4.513,1,0.0428,0.00832,0.0,0.394,0.713,141.066,147908,4
541807,Lizzo,About Damn Time - Purple Disco Machine Remix,4WIaDYUIlXsHi4yMF596aI,65,2022,dance,0.8,0.771,10,-6.638,0,0.123,0.0531,0.0,0.229,0.886,118.991,218476,4
560625,Prince Royce,Otra Vez,5iB0npbmkMygzGFcksUEeb,65,2022,hip-hop,0.743,0.768,11,-5.235,0,0.0291,0.216,1.46e-05,0.13,0.878,126.984,221360,4
297317,Eve,Dramaturgy,72uSoNIf7eScfGZFQjNHrR,65,2017,rock,0.592,0.9,3,-1.73,0,0.0741,0.0192,0.0,0.172,0.706,149.018,238181,4
1201024,Beyoncé,Single Ladies (Put a Ring on It),2ZBNclC5wm4GtiWaeh0DMx,65,2008,dance,0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.188,0.272,193.437,193213,4
577985,詹雯婷,訣愛 (劇集《蒼蘭訣》片頭曲),6la3Kme7O7D01fJPxgpAS5,65,2022,singer-songwriter,0.45,0.62,11,-6.492,1,0.0365,0.313,0.0,0.0672,0.169,142.026,189296,4
802394,George Frideric Handel,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",1upQiytDIEZfl9ItruoXuC,65,2002,classical,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3
103281,Tmsoft’s White Noise Sleep Sounds,Box Fan Sound,575DZcL4PtBm3qoFdilkq8,65,2013,sleep,0.0,2.03e-05,4,-25.402,1,0.0,0.15,0.204,0.112,0.0,0.0,589972,0
